2001~2008,2009~2016
50
seeds:jiawei han,wei fan,charu c. aggarwal,bhavani m. thuraisingham,jing gao,latifur khan,philip s. yu,mohammad m. masud,
clare r. voss,jian pei,ahmed el-kishky,xifeng yan,jiawei han,huan sun,xiang ren,yintao yu,dan roth,chao liu,yizhou sun,cindy xide lin,lu su,hanghang tong,wei fan,qi li,yaliang li,thomas s. huang,jimeng sun,fenglong ma,jie wang,chi wang,marina danilevsky,charu c. aggarwal,tahseen al-khateeb,qiaozhu mei,jialu liu,feng liang,haixun wang,bo zhao,bhavani m. thuraisingham,fangbo tao,houping xiao,feida zhu,dong xin,brandon norick,chengxiang zhai,hyungsul kim,jiayu zhou,jing gao,latifur khan,jieping ye,aidong zhang,david lo,philip s. yu,xiao yu,mohammad m. masud,chen chen,jie tang,hong cheng,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,3.30259,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,2.60944,0,0,0,0,0,0,0,0,0,0,0,0,3.19722,0,3.48491,
0,2.79176,0,2.60944,0,0,0,0,0,2.94591,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,2.38629,0,1,0,0,2.38629,1,1,0,0,2.38629,3.56495,0,1,0,0,2.09861,1,0,0,0,2.79176,0,1,3.19722,0,3.83321,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.94591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,1,2.38629,0,0,2.38629,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,
0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,2.94591,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94444,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
